Origin_Port,Destination_Port,Transport_Mode,Product_Category,Distance_km,Weight_MT,Fuel_Price_Index,Geopolitical_Risk_Score,Weather_Condition,Carrier_Reliability_Score,Lead_Time_Days,Disruption_Occurred,Year,Month,Day,DayOfWeek
6,5,0,0,6973.08,294.82,2.94,9.7,2,0.938,3.82,1,2024,11,11,1
2,1,2,1,12076.51,45.52,4.17,2.4,4,0.949,23.9,0,2025,5,24,2
7,7,1,1,12425.12,216.06,2.23,7.2,0,0.729,12.46,0,2024,1,24,6
4,7,3,4,12934.65,88.22,3.09,7.6,3,0.72,29.13,0,2024,4,2,5
4,7,0,3,13791.21,493.56,2.85,2.2,3,0.588,1.19,0,2025,2,6,4
3,6,3,0,6749.29,281.01,2.82,5.0,1,0.984,17.69,1,2025,6,1,3
4,7,2,2,5123.57,344.03,2.71,3.5,0,0.607,3.41,1,2025,4,13,3
7,6,3,3,8941.88,163.38,1.88,7.7,2,0.595,138.02,1,2024,9,3,5
6,2,2,0,5882.0,48.27,3.69,6.2,4,0.83,14.59,1,2024,8,8,4
1,8,2,2,9215.58,487.96,2.69,4.8,0,0.621,6.64,1,2025,8,20,6
6,6,3,3,10731.0,143.84,4.36,7.8,0,0.969,20.59,0,2024,12,27,0
0,8,2,4,10481.87,212.48,2.06,2.4,2,0.505,56.09,1,2024,2,19,1
4,5,0,2,5931.02,325.28,3.45,7.5,0,0.503,0.88,0,2024,2,21,6
1,2,0,3,2919.47,13.32,4.3,8.7,2,0.752,1.68,1,2024,10,15,5
2,1,0,4,6742.68,405.32,3.39,8.8,4,0.744,1.36,1,2025,5,21,6
7,7,1,0,2567.62,268.75,4.08,7.8,4,0.582,6.34,1,2025,9,3,6
2,4,3,3,13406.41,139.83,3.93,4.1,4,0.747,66.87,1,2025,10,31,0
0,3,1,1,5515.22,31.74,2.39,9.8,4,0.706,16.56,1,2025,11,19,6
5,4,1,1,2739.67,82.09,3.18,3.8,4,0.945,7.13,1,2025,4,26,2
0,6,1,3,868.99,447.62,1.72,6.4,1,0.505,1.07,0,2024,10,19,2
2,3,0,3,9864.42,343.33,2.97,1.6,2,0.988,4.3,1,2025,7,3,4
0,8,3,3,9735.08,125.7,1.96,9.8,1,0.812,30.22,1,2024,1,9,5
2,0,0,0,5438.76,33.73,3.65,7.0,3,0.576,0.5,0,2024,4,20,2
7,3,1,1,1539.82,345.62,2.94,7.5,2,0.523,12.55,1,2025,3,17,1
3,6,3,0,6439.62,286.63,2.56,0.7,1,0.769,14.51,1,2024,5,17,0
2,3,0,4,5012.65,202.86,2.09,7.6,4,0.617,1.89,1,2024,9,27,0
2,6,3,4,10318.25,182.44,4.5,7.7,4,0.651,59.99,1,2025,1,9,4
3,2,3,3,9283.8,109.19,1.44,6.7,1,0.623,25.82,1,2025,2,16,3
1,0,3,4,5786.61,335.14,1.34,2.9,0,0.825,10.02,1,2025,1,9,4
6,4,1,1,3659.44,485.36,1.92,4.9,2,0.777,24.97,1,2024,2,16,0
4,5,2,1,14826.52,88.68,4.4,1.1,3,0.539,10.74,0,2025,2,14,0
1,3,2,4,7083.02,298.96,4.43,4.7,1,0.763,7.51,0,2024,2,22,4
0,4,2,2,10479.98,212.67,3.36,2.4,1,0.896,10.76,0,2025,8,6,6
1,6,1,2,2538.02,223.9,4.1,3.5,1,0.541,2.72,0,2025,7,29,5
3,5,2,3,7541.05,127.82,1.91,1.6,0,0.945,4.78,0,2024,7,18,4
5,3,1,2,899.28,412.74,4.41,2.3,3,0.789,0.5,1,2025,1,6,1
0,1,3,1,7829.1,243.14,1.67,0.8,1,0.975,17.18,0,2025,7,20,3
0,3,1,3,14478.25,272.16,1.53,9.2,1,0.574,21.26,1,2024,10,22,5
5,7,2,2,6071.0,153.08,1.57,5.3,0,0.997,4.11,0,2024,3,16,2
6,1,1,2,1065.44,91.72,3.09,4.0,2,0.822,7.7,1,2025,1,30,4
5,2,1,1,948.86,43.87,3.78,5.4,2,0.784,7.27,1,2025,5,31,2
4,2,1,0,6125.81,357.35,2.41,6.3,1,0.758,8.57,1,2025,4,6,3
3,2,2,0,2820.36,98.92,4.43,9.2,3,0.512,3.08,1,2025,7,17,4
1,5,0,1,838.61,345.35,2.63,1.8,1,0.97,0.5,1,2024,10,13,3
2,6,0,4,11465.1,195.8,1.7,3.0,3,0.822,0.5,1,2025,9,30,5
6,8,1,0,7148.58,208.47,2.74,9.8,2,0.546,58.91,1,2025,11,27,4
0,5,2,2,4694.05,235.12,3.44,3.7,4,0.51,9.18,1,2025,9,17,6
6,6,3,3,13551.21,184.49,3.95,0.2,1,0.525,28.68,0,2024,5,1,6
7,4,0,3,2184.01,51.21,2.71,1.5,0,0.805,0.5,0,2024,5,11,2
0,5,1,1,14360.82,155.51,3.16,0.3,3,0.807,11.66,0,2024,4,9,5
3,2,2,2,5052.52,332.2,2.08,9.9,1,0.75,7.53,1,2025,2,7,0
0,3,2,0,13381.85,333.23,3.33,2.8,1,0.653,13.92,0,2025,1,17,0
5,4,3,1,9242.67,143.83,4.45,9.2,1,0.766,28.49,1,2024,12,13,0
1,2,3,1,12487.26,230.59,1.36,10.0,2,0.758,207.59,1,2025,7,25,0
5,3,3,3,14768.19,97.53,4.13,6.0,3,0.51,32.0,1,2025,1,9,4
4,7,3,4,4681.88,105.98,3.06,0.3,0,0.641,6.92,1,2024,5,27,1
5,4,3,1,14436.46,12.5,2.03,0.8,4,0.527,62.68,0,2024,7,22,1
0,3,3,1,6147.49,448.48,4.35,4.8,4,0.95,32.58,1,2025,9,8,1
3,4,3,1,6089.92,106.14,2.8,4.1,1,0.863,15.16,0,2025,6,5,4
1,5,0,4,5435.61,114.54,2.29,6.1,3,0.998,0.5,1,2025,2,15,2
7,3,3,3,8350.41,140.52,1.8,4.4,1,0.651,21.53,1,2025,5,27,5
3,8,2,3,2735.1,64.58,2.01,9.3,0,0.939,1.76,1,2024,2,11,3
3,7,0,0,8528.82,319.99,3.95,5.3,3,0.802,1.14,1,2024,2,16,0
1,6,3,3,8354.72,38.5,3.23,6.9,2,0.727,124.38,1,2024,2,9,0
1,5,2,4,11547.58,67.97,4.21,9.0,2,0.611,79.96,1,2024,5,20,1
4,6,2,4,12587.92,322.73,1.97,1.5,1,0.869,11.74,0,2025,12,31,6
7,1,1,3,6886.4,170.49,1.6,2.3,4,0.952,16.23,1,2024,12,7,2
7,2,3,3,4883.83,354.27,1.22,1.1,0,0.618,7.6,0,2025,4,30,6
5,2,2,3,4260.36,279.15,2.88,1.4,3,0.588,3.33,1,2025,6,15,3
3,0,0,0,3322.05,128.75,4.49,5.1,3,0.848,0.5,0,2025,4,12,2
3,8,2,2,1335.89,325.76,3.49,3.2,3,0.988,0.66,0,2024,6,1,2
1,2,3,1,5465.5,59.02,2.22,4.2,4,0.875,27.23,1,2025,9,12,0
6,5,3,1,4418.59,268.67,4.09,9.8,1,0.642,12.78,0,2025,6,11,6
3,2,3,4,14513.05,219.14,3.78,1.6,0,0.71,22.3,0,2024,5,23,4
0,8,1,3,8586.78,134.67,1.25,5.4,4,0.692,22.78,1,2024,12,1,3
5,5,2,2,5535.52,302.4,3.9,1.0,4,0.926,9.81,1,2025,9,19,0
1,0,3,1,8916.78,435.8,2.19,3.2,1,0.886,22.26,0,2024,11,22,0
4,1,0,1,2518.35,499.45,1.69,5.3,1,0.794,0.5,1,2024,6,15,2
7,2,3,2,6938.63,304.27,1.95,9.5,3,0.637,17.16,0,2025,2,6,4
6,2,3,1,9580.4,202.95,2.75,3.9,1,0.969,23.45,0,2025,9,23,5
3,7,1,4,7589.02,113.38,2.6,0.6,1,0.827,7.15,0,2024,11,2,2
1,6,3,3,6325.79,129.29,2.15,3.9,3,0.985,11.91,0,2025,8,30,2
6,2,2,2,14910.8,240.25,1.77,1.5,3,0.79,11.2,0,2024,12,10,5
2,3,3,2,13264.56,184.27,3.72,2.3,0,0.911,20.99,0,2025,6,3,5
1,6,0,1,9539.39,456.99,4.47,6.2,4,0.907,2.12,1,2025,6,5,4
0,1,3,0,8755.97,184.78,3.77,0.7,0,0.669,12.64,1,2025,6,29,3
3,6,2,2,9499.58,187.35,2.18,4.6,0,0.982,5.96,0,2025,5,16,0
1,8,2,0,3419.03,192.38,2.01,6.1,1,0.511,4.62,1,2025,12,26,0
6,1,3,2,6229.5,418.47,1.92,4.2,1,0.884,15.83,0,2025,7,30,6
2,1,0,1,1072.16,325.74,1.65,0.2,0,0.983,0.5,0,2024,11,2,2
7,0,3,2,7395.42,307.47,3.02,9.9,4,0.669,46.56,1,2025,5,1,4
3,0,2,1,8373.86,167.74,3.2,3.7,3,0.824,7.7,1,2024,1,18,4
5,1,0,2,3802.37,409.13,3.53,7.8,0,0.781,0.85,0,2025,1,12,3
7,4,1,2,14478.42,20.14,3.44,3.3,4,0.881,34.95,1,2024,12,5,4
5,3,3,3,13687.09,435.53,2.16,4.8,3,0.933,27.73,0,2025,11,20,4
2,5,3,2,10971.08,256.86,2.29,3.9,4,0.802,55.09,1,2024,4,22,1
1,2,1,0,8234.11,199.73,3.45,3.4,2,0.908,52.9,1,2025,3,2,3
5,1,1,3,13114.55,249.09,2.35,0.2,3,0.656,12.02,0,2025,8,20,6
2,0,1,4,2394.46,334.04,1.9,3.6,0,0.614,1.98,1,2024,11,11,1
5,3,2,0,11962.39,7.37,2.44,8.9,2,0.715,81.77,1,2025,12,5,0
7,5,1,1,2309.9,435.9,2.1,6.9,1,0.839,2.62,0,2025,10,6,1
3,4,0,1,12016.05,223.92,1.49,1.5,2,0.594,4.73,1,2024,1,28,3
2,7,2,4,4498.63,172.14,3.94,5.9,1,0.84,5.27,1,2025,9,3,6
0,5,0,0,13217.81,69.98,4.02,8.9,3,0.697,1.19,0,2025,4,30,6
2,0,3,3,14188.61,220.29,1.93,7.0,1,0.898,39.29,0,2024,9,28,2
7,3,0,2,2657.54,248.67,1.41,1.5,4,0.518,0.5,1,2025,11,2,3
3,0,3,3,7208.8,202.42,3.64,8.7,1,0.834,20.85,0,2025,8,15,0
3,8,3,3,14724.32,339.65,1.9,3.0,0,0.825,23.83,0,2025,8,14,4
6,6,2,0,7509.41,211.03,2.5,4.5,4,0.97,16.43,1,2024,8,21,6
4,6,0,2,13021.44,480.75,1.41,5.3,1,0.857,1.1,0,2024,2,22,4
5,3,1,1,9036.61,300.04,1.95,8.5,4,0.898,26.19,1,2025,8,20,6
6,4,1,2,5942.28,403.93,3.82,9.3,1,0.952,8.92,1,2025,5,6,5
5,5,2,2,4643.86,55.57,3.85,9.3,2,0.838,32.19,1,2024,6,23,3
2,6,2,3,3446.73,199.25,1.88,0.1,2,0.645,16.64,1,2025,6,20,0
2,5,2,3,11546.07,169.09,2.31,9.2,1,0.935,15.14,1,2025,10,6,1
3,8,1,1,6104.84,285.17,1.64,0.5,2,0.874,35.23,1,2025,9,26,0
3,7,2,3,7913.49,430.7,1.44,2.7,2,0.712,42.45,1,2025,1,24,0
2,3,3,3,7638.72,40.09,4.47,5.1,1,0.855,19.08,0,2024,5,31,0
6,6,0,2,8870.55,37.21,3.36,4.8,0,0.934,1.07,0,2025,11,28,0
2,5,3,1,13050.87,425.31,2.99,6.0,3,0.988,27.86,0,2024,9,5,4
5,1,3,1,14720.72,107.21,3.73,4.8,1,0.976,37.47,1,2024,2,2,0
7,0,1,4,6409.97,334.71,3.97,9.3,2,0.663,52.23,1,2025,8,9,2
5,5,0,0,12499.02,271.9,3.86,2.4,2,0.711,5.99,1,2025,12,18,4
3,1,0,0,11585.65,416.61,1.25,2.7,3,0.555,0.56,0,2024,4,22,1
2,8,2,1,8816.17,63.42,1.82,9.2,0,0.624,7.39,0,2024,7,14,3
1,6,0,2,14362.68,65.76,3.36,0.8,0,0.941,0.58,0,2024,1,20,2
0,4,2,0,3406.88,278.85,2.44,6.1,4,0.68,8.65,1,2025,3,27,4
2,6,1,3,2084.33,473.24,4.44,6.8,2,0.81,15.53,1,2024,11,17,3
5,3,2,3,12882.45,208.08,3.4,5.1,3,0.833,11.04,1,2025,3,4,5
6,3,2,1,6867.67,164.14,4.36,6.9,1,0.891,7.78,1,2024,6,4,5
4,7,2,2,12781.05,303.74,1.86,1.7,2,0.591,65.99,1,2025,2,26,6
5,5,0,0,13449.81,465.29,4.05,8.5,3,0.652,1.32,1,2025,12,8,1
4,5,3,0,1405.64,418.63,2.26,1.4,1,0.724,3.38,1,2024,7,27,2
4,5,1,0,13310.24,497.75,4.47,4.0,3,0.682,13.38,0,2025,2,24,1
6,0,3,1,7000.63,12.26,1.72,0.8,0,0.991,9.67,0,2025,5,28,6
0,7,0,3,7901.27,57.32,2.9,5.5,4,0.917,1.36,1,2025,9,18,4
1,4,0,2,9585.59,305.12,3.82,6.7,2,0.74,5.7,1,2025,4,27,3
6,6,2,3,13932.55,410.47,2.63,9.4,3,0.94,14.06,1,2024,3,4,1
6,2,3,2,777.18,143.34,2.74,7.4,3,0.674,1.54,1,2025,12,23,5
5,8,3,2,7414.23,120.37,4.45,5.4,2,0.893,104.97,1,2024,5,21,5
7,1,3,2,10471.97,393.7,2.6,9.3,0,0.612,21.76,1,2025,6,15,3
1,6,1,4,10979.25,29.13,3.19,4.8,3,0.886,11.24,0,2024,7,31,6
2,5,2,0,10541.72,185.32,1.38,5.6,1,0.728,11.85,0,2025,7,28,1
3,7,2,2,2449.31,253.4,3.98,6.0,0,0.554,1.23,0,2024,11,28,4
2,1,2,2,4841.24,280.61,3.34,4.1,1,0.637,5.47,0,2025,11,9,3
5,0,3,1,5701.38,364.58,2.53,8.4,4,0.701,34.37,1,2025,5,4,3
1,4,1,2,12164.34,178.07,1.25,1.9,2,0.875,75.12,1,2025,6,22,3
2,1,1,3,4542.02,306.73,3.15,5.5,3,0.536,5.03,1,2025,1,20,1
5,0,3,0,3555.22,293.1,1.24,7.2,4,0.83,20.14,1,2024,11,17,3
3,1,3,4,14383.0,274.26,1.2,9.0,0,0.858,28.55,1,2024,6,26,6
7,4,3,0,628.52,320.6,3.23,8.8,0,0.827,0.5,0,2025,4,15,5
6,5,3,3,14968.4,130.47,1.82,5.1,4,0.88,78.32,1,2025,6,29,3
4,0,2,4,10313.91,43.24,1.83,6.4,0,0.589,9.29,0,2024,12,16,1
5,5,2,1,12512.8,60.52,3.36,3.9,1,0.794,14.01,1,2025,7,13,3
5,2,2,0,4771.98,113.07,1.38,4.7,3,0.971,4.76,0,2024,12,28,2
4,6,3,2,707.57,250.6,2.23,9.1,2,0.805,11.55,1,2025,11,23,3
3,0,1,1,11199.11,420.38,1.69,9.3,0,0.806,11.58,0,2025,11,28,0
5,2,3,2,12595.1,350.95,3.11,9.0,0,0.868,24.11,1,2025,10,20,1
4,3,3,0,11236.9,394.73,3.38,1.4,2,0.667,133.87,1,2025,12,10,6
5,0,1,0,2571.33,176.14,3.58,8.5,1,0.85,3.53,1,2024,9,27,0
6,0,0,1,11424.7,202.92,2.04,9.5,3,0.958,0.7,1,2025,9,16,5
0,7,3,4,11649.38,197.45,1.49,3.6,3,0.505,22.76,0,2025,5,10,2
6,2,1,4,10048.84,96.74,1.46,5.2,2,0.935,70.13,1,2024,7,15,1
6,1,3,2,11608.68,31.55,2.61,7.8,3,0.609,26.53,1,2024,9,9,1
7,5,1,1,12765.86,295.87,4.32,5.6,4,0.728,34.08,1,2024,10,12,2
1,4,0,1,9397.26,494.62,1.92,9.9,1,0.926,0.82,1,2025,7,25,0
0,6,3,2,1784.77,84.25,2.05,4.6,0,0.912,3.09,1,2024,11,1,0
7,4,1,4,7570.6,24.3,1.53,7.1,2,0.946,56.33,1,2024,8,18,3
4,2,0,4,1625.92,389.99,3.2,7.9,3,0.97,0.5,0,2024,10,31,4
6,2,3,4,6409.37,127.04,3.44,4.9,0,0.724,10.55,0,2024,10,22,5
7,2,1,3,6403.04,414.99,3.32,8.6,0,0.828,6.03,0,2025,12,22,1
7,5,3,3,1457.14,352.26,4.04,5.5,2,0.695,20.68,1,2024,7,31,6
1,0,1,0,5557.9,472.89,2.81,4.1,0,0.675,3.85,1,2025,12,7,3
6,5,2,3,2109.47,205.05,1.64,1.1,1,0.716,1.57,0,2025,12,22,1
3,4,2,1,12219.41,331.32,2.16,3.9,2,0.872,69.92,1,2025,5,15,4
7,6,2,3,14241.48,232.96,3.39,7.3,1,0.751,16.68,1,2024,11,20,6
6,1,0,0,1548.59,315.66,3.22,9.2,0,0.907,1.01,0,2025,5,6,5
3,4,3,4,14349.17,225.35,2.95,2.5,1,0.873,34.26,0,2024,12,23,1
7,5,0,3,8077.36,95.13,3.45,3.6,4,0.51,1.24,1,2025,7,27,3
6,4,2,2,4843.7,254.44,3.3,1.5,1,0.815,4.26,0,2024,10,7,1
6,3,2,0,1614.5,264.76,4.11,6.9,2,0.718,10.44,1,2024,10,21,1
4,0,3,0,7759.05,405.49,3.13,9.6,2,0.728,126.88,1,2024,5,4,2
4,7,2,0,12020.48,368.02,3.77,6.4,2,0.909,74.58,1,2025,8,10,3
5,2,2,1,10752.75,332.23,2.02,6.2,4,0.774,24.9,1,2025,11,23,3
2,0,1,2,1228.28,57.58,3.44,5.5,2,0.943,8.65,1,2025,7,10,4
7,6,3,3,1557.08,360.59,4.18,0.9,1,0.856,3.43,0,2025,1,23,4
6,0,2,3,6341.66,250.65,2.47,7.3,4,0.776,15.15,1,2025,2,8,2
5,5,2,0,4781.71,447.16,3.77,6.0,2,0.877,30.26,1,2024,12,19,4
3,5,3,0,3869.57,460.02,3.59,6.6,2,0.519,56.47,1,2024,5,29,6
2,3,0,2,4574.57,28.52,1.4,9.0,1,0.514,0.5,0,2024,10,24,4
2,0,0,0,12150.5,410.5,3.12,7.8,2,0.542,7.29,1,2024,2,13,5
5,1,2,3,13973.81,19.81,1.63,7.8,2,0.719,91.94,1,2024,10,21,1
4,8,1,4,6373.99,184.22,4.39,9.3,0,0.618,5.88,0,2024,3,21,4
6,3,3,2,13638.61,271.61,3.88,9.9,4,0.992,85.02,0,2024,12,20,0
6,0,2,4,5161.69,74.9,1.56,5.8,3,0.771,4.23,1,2025,3,28,0
7,6,2,0,7408.34,373.41,1.6,1.1,3,0.831,5.51,1,2025,11,2,3
4,6,1,2,3777.42,5.17,3.16,4.6,0,0.639,2.88,0,2024,9,19,4
4,0,0,4,9786.9,85.13,2.34,7.9,1,0.661,0.63,1,2025,5,5,1
3,7,0,1,14695.23,290.82,1.32,0.3,0,0.668,0.5,0,2024,8,7,6
5,1,0,3,9250.65,357.48,2.99,0.6,0,0.849,0.57,0,2024,7,25,4
7,7,1,0,5688.3,458.4,2.48,0.7,4,0.737,11.62,1,2025,7,5,2
6,2,2,0,9893.35,353.04,1.53,7.3,2,0.759,64.25,1,2024,10,4,0
4,7,0,4,2282.35,336.22,3.85,5.0,1,0.796,0.5,1,2025,7,29,5
1,0,0,0,13385.56,197.78,4.22,3.7,4,0.884,2.37,1,2025,12,13,2
2,8,1,3,7794.72,1.64,3.7,1.1,1,0.545,8.47,0,2024,10,5,2
5,5,3,2,7015.57,60.96,3.91,7.3,4,0.888,40.03,1,2024,5,20,1
1,2,2,3,8995.04,267.74,1.91,3.2,2,0.782,49.34,1,2024,4,21,3
6,6,3,2,9559.37,337.89,2.07,2.7,0,0.835,15.66,0,2025,9,22,1
5,0,3,4,1540.75,209.31,1.89,6.5,2,0.664,21.78,1,2025,8,23,2
2,1,1,4,10397.95,365.61,3.72,5.6,2,0.705,73.8,1,2024,9,2,1
0,8,0,1,4008.01,261.41,4.33,3.6,2,0.616,2.39,1,2024,9,5,4
0,1,2,0,10852.31,38.01,3.57,6.4,0,0.99,8.77,1,2024,2,21,6
4,0,0,2,12426.75,96.82,4.11,2.7,0,0.749,0.5,0,2025,11,16,3
4,0,3,3,12157.4,420.16,3.31,7.9,1,0.998,34.99,1,2025,6,27,0
0,8,0,3,8511.26,362.73,2.48,2.3,0,0.745,0.5,0,2024,8,19,1
6,3,2,4,8042.46,447.49,2.61,1.6,1,0.61,8.05,1,2025,10,15,6
2,0,3,2,2571.7,59.66,1.45,7.8,3,0.754,5.59,0,2024,8,26,1
6,3,2,0,11742.52,495.12,1.3,7.1,4,0.52,28.52,1,2024,2,23,0
1,7,0,1,4435.44,105.49,3.5,1.8,1,0.952,0.51,0,2024,4,12,0
6,1,3,1,7702.08,6.88,2.65,1.2,3,0.909,14.77,0,2025,2,27,4
5,2,3,1,4621.97,498.71,3.02,8.4,0,0.863,9.27,1,2024,12,4,6
1,5,2,4,2440.51,141.26,3.04,7.8,1,0.805,2.62,0,2025,4,28,1
2,5,3,0,9628.59,334.34,2.12,3.3,3,0.79,17.94,0,2024,4,12,0
3,2,0,3,1287.81,89.16,2.77,6.6,0,0.998,0.5,0,2025,11,28,0
7,7,3,4,11355.36,290.53,2.75,1.2,3,0.639,20.04,0,2024,5,20,1
6,6,1,0,5105.01,452.11,2.48,5.1,2,0.89,34.45,1,2024,1,6,2
2,0,3,0,501.95,160.77,3.91,0.2,1,0.791,0.7,0,2025,7,17,4
1,0,3,2,7911.37,335.46,2.69,3.9,4,0.988,39.57,1,2024,6,10,1
6,5,0,0,1179.35,94.76,3.19,0.7,4,0.914,0.5,1,2025,2,20,4
0,6,1,3,4504.46,312.77,4.16,4.8,1,0.999,6.29,0,2025,10,30,4
3,8,2,1,10751.16,168.89,4.06,4.2,3,0.794,8.52,0,2025,5,2,0
1,2,0,2,1409.0,106.39,4.14,4.4,1,0.602,0.5,1,2025,5,3,2
3,5,3,0,12670.41,157.28,2.09,0.5,0,0.752,18.45,0,2025,10,28,5
1,4,3,3,555.39,90.24,1.32,3.6,1,0.856,1.84,0,2024,7,23,5
4,1,2,0,4078.95,451.06,2.06,7.6,2,0.887,25.99,1,2024,10,21,1
0,5,3,4,11243.11,199.2,2.12,3.7,4,0.5,55.64,0,2024,11,24,3
3,8,1,4,5085.92,123.39,4.2,7.2,2,0.753,38.02,1,2024,10,19,2
0,1,3,1,1977.44,224.76,3.34,3.7,1,0.618,4.18,1,2025,10,23,4
4,3,3,1,5723.39,160.95,1.47,4.2,3,0.937,11.35,0,2024,3,1,0
6,8,2,4,4420.7,372.47,1.65,5.6,1,0.576,4.61,0,2024,4,1,1
1,7,1,3,12719.32,485.64,1.71,9.5,2,0.833,104.71,1,2025,10,29,6
2,1,1,2,5043.54,219.58,3.28,1.1,2,0.633,29.8,1,2025,8,10,3
5,1,0,4,11939.52,430.66,3.63,0.3,0,0.678,0.5,0,2024,8,25,3
7,2,0,1,13432.15,283.37,4.04,6.1,0,0.97,0.55,0,2025,7,1,5
1,8,3,0,6790.35,79.46,4.3,9.5,2,0.62,111.06,1,2024,2,8,4
6,2,2,2,13694.18,345.62,1.87,9.9,3,0.548,14.59,1,2024,6,28,0
0,3,1,1,5971.11,257.2,2.22,4.8,2,0.535,41.71,1,2025,3,3,1
1,0,0,0,14479.14,325.65,1.99,4.7,2,0.752,7.79,1,2024,6,29,2
6,2,2,2,1794.7,444.95,2.38,6.4,2,0.821,11.33,1,2024,2,7,6
6,3,1,2,10461.78,220.78,4.22,5.6,2,0.664,74.14,1,2025,2,10,1
5,8,2,1,7660.3,450.69,3.1,6.3,0,0.845,5.12,1,2025,5,22,4
0,3,3,0,6120.91,375.58,3.64,8.7,1,0.531,18.97,0,2024,7,9,5
0,6,0,3,9674.32,244.81,2.82,7.5,2,0.929,5.31,1,2024,10,23,6
6,3,3,2,10705.93,302.01,1.3,5.0,3,0.908,23.05,1,2024,2,8,4
5,2,3,4,563.27,163.46,1.41,4.6,0,0.993,1.06,1,2024,1,10,6
6,0,1,4,2920.82,491.82,2.98,6.4,0,0.968,3.69,1,2024,11,1,0
2,8,3,0,10839.17,334.01,3.57,4.6,3,0.678,22.48,1,2025,8,4,1
4,1,2,0,10162.59,22.88,1.91,4.6,0,0.7,6.72,0,2025,9,9,5
2,5,2,3,14507.69,163.98,3.58,0.2,1,0.873,12.75,0,2024,4,19,0
4,3,1,2,11535.05,312.03,3.88,1.7,0,0.567,8.62,0,2024,12,9,1
0,8,2,1,14286.2,29.11,2.56,4.9,1,0.657,15.43,1,2024,10,18,0
6,5,3,2,10686.84,12.92,3.66,8.2,1,0.559,31.23,1,2025,4,10,4
4,2,0,2,4821.76,225.56,2.53,2.8,4,0.727,0.5,1,2025,10,18,2
0,8,0,1,2027.79,167.01,3.44,5.2,3,0.776,0.5,0,2025,7,10,4
1,0,2,4,11836.45,219.71,3.72,3.4,3,0.606,10.03,0,2025,6,20,0
3,4,3,2,9840.16,132.08,4.47,1.0,0,0.513,13.88,1,2025,5,20,5
3,6,1,0,1198.7,83.19,2.34,9.6,1,0.86,2.82,0,2024,5,17,0
0,7,2,2,5720.73,344.88,2.56,8.5,3,0.51,5.86,1,2025,5,31,2
2,7,3,0,14373.6,257.77,1.75,0.8,3,0.987,24.49,1,2025,4,24,4
1,6,3,2,7755.82,100.88,1.87,7.2,1,0.611,21.16,0,2024,10,6,3
0,6,0,2,6774.57,160.48,3.49,3.5,0,0.832,0.5,1,2024,7,16,5
1,5,2,3,7136.64,296.31,4.23,9.9,3,0.717,7.5,1,2024,4,25,4
3,0,1,2,3528.8,37.04,2.5,3.0,0,0.53,3.21,1,2024,12,4,6
5,3,0,3,5846.25,74.58,1.79,2.4,1,0.736,0.5,0,2024,6,15,2
1,2,2,2,5862.29,37.55,2.14,5.7,2,0.758,35.25,1,2025,4,14,1
6,1,0,4,1259.15,406.35,2.7,8.4,2,0.927,1.58,1,2025,10,25,2
6,4,2,1,11629.73,376.45,2.16,1.9,4,0.866,22.98,1,2024,9,20,0
3,1,2,0,6539.31,376.9,1.97,7.1,4,0.54,15.69,1,2024,7,9,5
1,8,2,0,12421.61,358.45,3.63,0.6,2,0.605,61.05,1,2024,1,15,1
1,7,3,1,12830.05,335.02,1.23,9.2,0,0.656,26.24,1,2024,12,11,6
4,2,1,4,3573.91,239.02,2.98,0.8,0,0.558,1.87,1,2024,10,29,5
5,2,3,0,10031.63,321.5,3.82,9.1,4,0.728,60.98,1,2025,8,4,1
7,5,1,4,7348.09,20.14,2.08,4.9,2,0.992,50.62,1,2025,11,21,0
6,6,0,4,13262.27,311.11,3.19,4.5,0,0.757,1.1,0,2024,7,16,5
7,7,3,4,3628.24,389.16,3.41,9.7,3,0.871,8.62,1,2024,6,28,0
6,0,1,1,10328.29,250.68,3.36,9.9,1,0.841,15.78,0,2025,9,17,6
1,7,3,1,9312.41,179.4,2.67,6.5,3,0.925,21.4,0,2025,10,16,4
7,2,2,3,4781.87,139.44,2.34,1.3,2,0.608,24.83,1,2025,2,19,6
5,3,3,2,2480.71,321.76,3.96,5.1,4,0.877,11.3,1,2025,3,13,4
0,5,1,2,9948.78,346.71,3.7,5.3,4,0.941,26.79,1,2025,6,11,6
2,0,2,3,11209.66,435.61,2.26,5.1,4,0.586,25.13,1,2024,12,1,3
5,8,3,4,5076.6,171.82,1.54,5.7,2,0.673,72.11,1,2024,3,29,0
3,6,2,1,9850.07,385.12,1.44,0.2,4,0.985,17.25,0,2025,2,14,0
6,3,0,1,6229.4,281.12,1.51,7.1,2,0.89,3.04,1,2025,11,16,3
6,5,0,4,10841.5,441.54,3.12,7.1,3,0.641,0.58,1,2024,4,7,3
1,0,2,0,3388.62,264.38,1.37,1.2,4,0.782,5.84,0,2024,7,8,1
1,7,1,0,13408.12,259.3,2.31,5.7,1,0.702,17.27,0,2024,5,23,4
4,5,0,1,4667.44,289.36,3.69,5.7,3,0.745,0.5,0,2025,5,3,2
3,5,1,2,5832.9,374.91,2.17,6.8,2,0.678,43.62,1,2024,11,27,6
1,3,2,4,1342.33,482.38,3.72,0.9,2,0.64,6.69,1,2024,9,11,6
1,4,1,2,2116.93,37.71,3.66,6.3,2,0.837,15.72,1,2024,1,7,3
